Title,Author,Goodreads Rating
Harry Potter and the Deathly Hallows,J.K Rowling,4.63
The Book Thief,Markus Zusak,4.37
1984,George Orwell,4.17
Atlas Shrugged,Ayn Rand,3.68
Only Time Will Tell,Jeffery Archer,4.07
Chronicles of Narnia,C.S Lewis,4.25
Twilight,Stephenie Meyer,3.58
The Monk Who Sold His Ferrari,Robin Sharma,4
Alchemist,Paulo Coelho,3.85
Life Comes From Life,Swami Prabhupada,3.96
Jungle Book (easy english),Rudyard Kipling,3.93
Stories from Shakespeare (abridged),-,3.74
Secret ,Rhonda Bryne,4.13
How to win friends and influence people,Dale Carnegie,4.18
Claudine at St. Calre's ,Enid Blyton,4.1
World Great Speeches,-,3.98
Children Treasury of Immortal Classics,-,3.83
A woman of Substance,Barbara Taylor Bradford,4.17
Murder in the Mews,Agatha Christie,3.76
7 habits of highly effective people,Stephen Covey,4.08
7 habits of highly effective teenagers ,Sean Covey,4.03
Mouse in space,Geronimo Stilton,4.25
A fabumouse vacations for Geronimo,Geronimo Stilton,4.17
Cavemice The Stone of Fire,Geronimo Stilton,4.16
"Geronimo Stilton, secret Agent",Geronimo Stilton,4.25
The Race across America,Geronimo Stilton,4.15
The mystery of Missing man,Enid Blyton,3.94
Wintercraft,Jenna Burtenshaw,3.64
The mystery of Missing necklace,Enid Blyton,3.97
The Swiss Family Robinson,Johann Wyss,3.92
the captain underpants extra crunchy book o fun,dav pilkey,4.05
A brief history of time,Stephen Hawking,4.16
Great Short Stories,Anton Chekov,3.68
The story of my life,M.K Gandhi,4.08
Chicken Soup for the teenage soul: The real Deal,-,3.91
Scoop,Kuldip Nayar,3.86
Love among the haystacks and other stories,D.H. Lawrence,3.53
Love Story,Erich Segal,3.61
A Fathers gift to his Daughter,Mohinder M. Monga,0
The Go- Giver,Bob Burg and John David Mann,4.28
No Body's Perfect,Kimberly Kirberger,3.98
The Book of Tomorrow,Cecelia Ahern,3.66
Little Women,Louisa May Alcott,4.06
Billionaire Boy- Mark Zuckerberg,-,3
White Fang,Jack London,3.96
Khushwant Singh's joke book,Khushwant Singh,3.46
The 3 mistakes of my life,Chetan bhagat,2.99
Revolution 2020,Chetan bhagat,3.09
I too had a love story,Ravinder Singh,3.64
Wuthering heights,Emily Bronte,3.84
The diary of a young girl,Anne Frank,4.12
Digital fortress*(not original),Dan Brown,4.1
Win @ Work,-,3.46
Become a complete champion,Michael J herman,3.6
Plays,Chekhov,4.23
The princess diaries 1 &2,Meg cabot,3.78
Charting your career goals,Ali Khwaja,0
The girl with dragon tatoo ,Steig Larrson,4.13
Blink,Malcolm Gladwell,3.92
Tipping Point,Malcolm Gladwell,3.95
Theory of Everything,Stepehn hawking,4.14
Thumbelina ,,4.11
Oliver twist ,Charles Dickens ,3.86
just so stories,Rudyard Kipling,4.09
I Moved Your Cheese,Darrel Bristow-Bovey,3.21
Hello Mr Twiddle,Enid Blyton,4
The Secret Seven (blue),Enid Blyton,3.66
The Secret Seven (green),Enid Blyton,3.42
The Famous Five - Five on a hike together,Enid Blyton,3.97
